LocalId,SectorId,DiocesanId,OtherId,TAAId,JurisdictionId,NationalId,PlatformId,PreviousLocalId,PreviousSectorId,PreviousDiocesanId,PreviousOtherId,PreviousTAAId,PreviousJurisdictionId,PreviousNationalId,PreviousPlatformId,FamilyName,GivenName,PreferredName,MiddleName,BirthDate,Sex,CountryOfBirth,EducationSupport,FFPOS,VisaCode,IndigenousStatus,LBOTE,StudentLOTE,YearLevel,TestLevel,FTE,ClassGroup,ASLSchoolId,SchoolLocalId,LocalCampusId,MainSchoolFlag,OtherSchoolId,ReportingSchoolId,HomeSchooledStudent,Sensitive,OfflineDelivery,Parent1SchoolEducation,Parent1NonSchoolEducation,Parent1Occupation,Parent1LOTE,Parent2SchoolEducation,Parent2NonSchoolEducation,Parent2Occupation,Parent2LOTE,AddressLine1,AddressLine2,Locality,Postcode,StateTerritory
ksnbn578,34765,75224,95328,58035,68640,91779,R100000010G,7623,90442,81055,66574,28919,13893,75751,R100000010G,Haag,Henry,Henry,E,2007-06-28,1,1101,Y,1,101,2,Y,7101,3,3,0.90,3F,49360,22782,01,1,dquqi119,49360,Y,Y,N,2,5,3,5203,3,6,2,1201,5445 Red Rock Lane,,KINGSTON ON MURRAY,5331,SA
asuop121,6603,55706,26488,59670,76657,73697,R100000011H,60512,7961,51167,98038,85265,29136,650,R100000011H,Watson,Adeline,Adeline,,2007-06-28,2,1101,X,1,101,4,Y,1201,3,3,0.12,3B,49360,22782,01,2,wsofq321,49360,N,N,Y,4,5,4,1201,2,5,3,1201,733 West Cary Street,,BUNGAMA,5540,SA
rpxws818,87264,17166,75543,69141,34012,30103,R100000012P,74992,95284,32903,50518,11000,36420,67624,R100000012P,Knox,Gladys,Gladys,M,2007-12-10,2,1101,N,2,101,2,N,1201,3,3,0.77,3D,49360,22782,01,1,zsweh903,49360,N,N,N,4,7,3,1201,3,8,2,1201,400 E. Girard Ave.,,MARLA,5724,SA
dxfpe275,21257,89213,12475,70484,53131,12844,R100000013A,84061,19972,75341,71594,38546,37393,98363,R100000013A,Smith,Enrique,Enrique,Clint,2007-06-10,1,1101,Y,1,101,1,Y,1201,3,3,0.25,3B,49360,22782,01,2,igvsu551,49360,Y,N,Y,3,7,4,1201,1,6,3,1201,1899 Mendocino Avenue,,BUNGAMA,5540,SA
elrqf277,34413,30590,51051,60742,74452,82695,R100000014M,56609,12488,37959,85952,58529,58410,24876,R100000014M,Smith,Eldridge,Eldridge,,2007-05-17,1,1101,N,1,101,2,U,1201,3,3,0.81,3A,49360,22782,01,1,nadqn975,49360,N,N,Y,3,8,1,1201,3,6,2,1201,106 Walnut Ave,,ELIZABETH,5112,SA
trdty242,88622,21793,97957,35471,48818,95171,R100000015E,34423,74324,77738,20193,25995,12256,413,R100000015E,Gutierrez,Duane,Duane,S,2007-01-15,1,1101,N,2,101,3,Y,9601,3,3,0.51,3B,49360,22782,01,2,dgwyy513,49360,N,Y,Y,1,6,4,1201,1,5,2,1201,600 W. 3rd Street,,MOUNT GAMBIER,5290,SA
lwsjw441,11610,33342,80236,1097,60677,80853,R100000016D,23163,10940,29474,55156,70169,75871,33555,R100000016D,Parker,Clifford,Clifford,B,2007-01-07,1,1101,Y,1,101,1,Y,1201,3,3,0.77,3A,49360,22782,01,1,jvgax894,49360,N,N,Y,3,8,1,1201,4,5,1,1201,4023 State Hwy 42,,DERNANCOURT,5075,SA
puxcf350,33257,26434,83698,76971,80023,74706,R100000017S,45696,29650,91717,87394,27113,95595,74874,R100000017S,Williams,Homer,Homer,,2007-08-13,1,1101,N,1,101,2,N,9601,3,3,0.55,3A,49360,22782,01,1,ntxdd681,49360,N,N,N,1,5,1,1201,2,7,1,1201,1123 W. Lake St.,,BOOL LAGOON,5271,SA
gwcpl894,80739,89796,28595,80153,37294,52797,R100000018R,39568,26448,56739,39012,73979,31251,38732,R100000018R,Webb,Nikki,Nikki,Vicki,2007-05-16,2,1101,N,2,101,4,Y,5203,3,3,0.13,3B,49360,22782,01,2,tlgqq478,49360,Y,Y,Y,2,6,4,9601,4,7,2,1201,660 Irwin Street,,GLENGOWRIE,5044,SA
cwztj342,72840,73694,2195,13015,38904,4399,R100000019K,84105,97464,67053,48542,10801,97762,65215,R100000019K,Burns,Rory,Rory,Douglas,2007-09-13,1,1101,Y,2,101,3,N,1201,3,3,0.55,3C,49360,22782,01,1,byuwv284,49360,Y,Y,N,3,5,3,1201,1,8,4,1201,983 Valencia St,,CLARENCE GARDENS,5039,SA
plyuy617,80402,18973,67689,65781,55841,74168,R100000020E,9915,91449,20324,18243,43879,69670,47492,R100000020E,Huggins,Bernadette,Bernadette,J,2007-05-20,2,1101,Y,2,101,1,Y,1201,3,3,0.47,3A,49360,22782,01,2,hzomi083,49360,Y,N,N,3,8,2,1201,1,6,1,1201,516 Barber Lane,,DULWICH,5065,SA
qjsyi186,96379,33234,55741,95195,77581,83568,R100000021D,27663,30485,70338,75521,65055,6782,45535,R100000021D,Jones,Lucie,Lucie,J,2007-08-04,2,1101,N,2,101,1,U,1201,3,3,0.37,3E,49360,22782,01,2,ijusf128,49360,Y,X,N,1,6,2,2201,2,6,2,5203,1842 E. Winter Park Road,,MODBURY,5092,SA
hnfaz759,24284,40949,16446,75519,25155,47449,R100000022S,6238,9868,81859,50305,62497,3670,13658,R100000022S,Hart,Brooke,Brooke,,2007-08-04,2,1101,X,2,101,1,Y,1201,3,3,0.31,3C,49360,22782,01,1,esmbr365,49360,U,N,N,2,7,2,1201,4,8,1,1201,2847 N. Oakland Ave.,,EXETER,5019,SA
uemvy397,41873,85347,46790,83422,42158,79265,R100000023R,61622,25284,34327,48737,86402,87274,43212,R100000023R,Hopper,Nathan,Nathan,F,2007-12-28,1,1101,Y,1,101,2,Y,1201,3,3,0.52,3F,49360,22782,01,2,qegxr638,49360,Y,Y,N,1,5,4,5203,3,6,2,2201,1720 E. Douglas Avenue,,ADELAIDE AIRPORT,5950,SA
kjyiy422,57104,5599,24648,95885,97489,4779,R100000024K,59074,7792,6355,8417,96846,70340,9594,R100000024K,Smith,Debbie,Debbie,M,2007-03-03,2,1101,N,2,101,4,N,1201,3,3,0.68,3B,49360,22782,01,2,bhtzg063,49360,N,Y,Y,3,8,1,1201,2,8,1,1201,47 S. Main Street,,MAGDALLA,5400,SA
uvsfi439,41401,79810,64225,97462,29439,94198,R100000025H,71270,57174,39108,37149,21529,54955,55890,R100000025H,Connelly,Chris,Chris,J,2007-11-08,2,1101,Y,1,101,2,N,2201,3,3,0.56,3D,49360,22782,01,2,jzmmi471,49360,Y,Y,Y,4,7,2,1201,4,7,1,1201,3900 Chestnut St.,,BARNA,5641,SA
ywkca489,61438,51526,1792,35145,43280,32506,R100000026P,94617,47469,45122,118,52804,85917,18606,R100000026P,Etheridge,Benedict,Benedict,W,2007-09-28,1,1101,N,1,101,3,X,1201,3,3,0.90,3F,49360,22782,01,1,cwirw844,49360,N,N,U,2,8,4,1201,2,8,1,1201,8194 S. Kipling Parkway,,BUTE,5560,SA
ebgqg122,19061,64351,5955,32563,51418,59585,R100000027A,61862,77845,71571,29797,90065,30591,41088,R100000027A,Childers,Sharon,Sharon,A,2007-07-19,2,1101,U,2,101,2,N,1201,3,3,0.29,3C,49360,22782,01,1,pkwio218,49360,Y,Y,Y,2,8,2,1201,2,6,4,1201,426 S. McDowell St.,,FOREST RANGE,5139,SA
xyehx400,67962,4634,51134,73342,24961,18477,R100000028M,87530,86789,19194,68712,10219,50520,56370,R100000028M,Culbertson,Gloria,Gloria,M,2007-05-05,2,1101,N,1,101,3,N,1201,3,3,0.79,3C,49360,22782,01,1,dduqm724,49360,Y,N,Y,4,5,1,7101,2,6,3,1201,704 Massachusetts Avenue,,BEATTY,5320,SA
xgpxx999,21799,37643,43940,56043,49486,44504,R100000029G,52783,15623,63232,39107,3842,11185,35943,R100000029G,Romano,Angel,Angel,Timothy,2007-03-04,1,1101,Y,1,101,1,X,1201,3,3,0.35,3A,49360,22782,01,1,kyikk155,49360,N,N,Y,1,5,4,1201,4,7,2,1201,2920 Rt. 10 W Powder Mill Plaza West,Powder Mill Plaza West,HOLDEN HILL,5088,SA
bmora733,68755,355,99178,83651,56792,98132,R100000030H,69105,19121,7924,67339,11535,48588,22994,R100000030H,Darrow,Jessie,Jessie,Wilfred,2007-10-10,1,1101,N,2,101,2,X,1201,3,3,0.44,3F,49360,22782,01,1,jmgll724,49360,N,N,N,4,8,1,1201,2,8,3,1201,3400 11th St NW,,APPILA,5480,SA
vlwqu297,99683,27108,83042,2649,18149,41215,R100000031P,4797,98233,12630,73298,83288,41354,99094,R100000031P,Roberts,Roderick,Roderick,Brenton,2007-06-23,1,1101,U,1,101,2,X,1201,3,3,0.29,3B,49360,22782,01,2,pbmuw670,49360,N,N,N,1,8,4,1201,1,6,4,1201,1700 Vine Street,,ANGAS PLAINS,5255,SA
mybsh350,62916,30251,27825,92966,70446,927,R100000032A,86340,4915,4303,22815,69454,9198,95315,R100000032A,Bailey,Claudia,Claudia,K,2007-10-02,2,1101,Y,1,101,4,U,1201,3,3,0.93,3C,49360,22782,01,2,aprxj512,49360,Y,Y,Y,2,8,1,7101,4,7,4,1201,7119 Melrose Ave,,INGLE FARM,5098,SA
gtjsm835,71148,78511,38515,55247,81810,99625,R100000033M,17721,74014,3852,22725,73741,39487,7415,R100000033M,Groce,Gregory,Gregory,E,2007-09-12,1,1101,N,1,101,1,U,1201,3,3,0.60,3A,49360,22782,01,2,eqfnm697,49360,N,N,N,3,5,3,1201,3,7,2,7101,435 Esplanade Avenue,,CLARENCE GARDENS,5039,SA
iujsy907,60589,84890,31688,45065,91224,74652,R100000034G,13148,36706,3825,65982,19110,36489,37731,R100000034G,Suggs,Terrence,Terrence,,2007-04-11,1,1101,Y,1,101,1,N,1201,3,3,0.95,3E,49360,22782,01,2,xpoza347,49360,Y,N,N,2,7,4,2201,1,6,3,5203,35 Riveredge Rd.,,PARAFIELD,5106,SA
tudfx695,65604,81322,33547,64809,4871,70906,R100000035D,78769,39600,14000,18777,36018,88602,30998,R100000035D,Bleau,Tyson,Tyson,Jorge,2007-06-15,1,1101,N,2,101,1,N,1201,3,3,0.66,3D,49360,22782,01,2,wwvbz119,49360,X,N,Y,3,8,4,1201,1,5,1,1201,2913 Howard St.,,BIBARINGA,5118,SA
rluuf535,90731,44437,7249,97042,66677,32921,R100000036S,27904,87745,15533,76416,4962,9438,35401,R100000036S,Bednar,Raleigh,Raleigh,Gene,2007-11-03,1,1101,N,2,101,2,N,7101,3,3,0.43,3D,49360,22782,01,2,rmztx279,49360,N,N,Y,1,5,4,1201,3,5,3,9601,237 NE 167th St.,,BOSTON,5607,SA
rhqzz237,95617,94054,98544,46751,59809,31844,R100000037R,39479,22150,45986,90988,88628,66285,25120,R100000037R,Tardiff,Emma,Emma,D,2007-02-14,2,1101,Y,1,101,2,Y,1201,3,3,0.92,3F,49360,22782,01,2,eyhku788,49360,Y,Y,U,3,8,2,1201,4,7,1,1201,1236 Williamson Street,,INGLE FARM,5098,SA
kyqri873,57625,34058,9542,51083,72396,4202,R100000038K,11656,47265,21329,76994,22699,4202,78380,R100000038K,Wallace,Tammie,Tammie,M,2005-03-13,2,1101,X,1,101,4,N,1201,5,5,0.86,5A,49360,22782,01,1,vkvnb248,49360,N,N,N,1,6,1,1201,3,8,4,1201,2074 North Decatur Road,,ALMA,5401,SA
wfrkb421,94146,20229,3999,24103,29539,26153,R100000039E,83208,55552,13431,27847,31488,19757,36489,R100000039E,Pineda,Jess,Jess,B,2005-03-24,1,1101,N,2,101,4,Y,1201,5,5,0.34,5A,49360,22782,01,1,vptov145,49360,Y,N,Y,4,8,4,9601,3,7,4,1201,1690 Armory Plaza Rt. 38,Armory Plaza,AUSTRALIA PLAINS,5374,SA
ejkog219,69093,54219,15981,8178,17651,85615,R100000040D,12912,57352,21210,74292,60006,23306,4541,R100000040D,Barrett,Camille,Camille,L,2005-12-09,2,1101,N,2,101,2,Y,1201,5,5,0.33,5C,49360,22782,01,1,tbiie301,49360,N,Y,N,4,6,4,1201,1,8,3,1201,19810 South Harlem Ave,,GLEN OSMOND,5064,SA
zapbl544,99806,27528,805,71920,87956,50123,R100000041S,16631,457,79695,31711,65953,16523,71274,R100000041S,Perkins,Wyatt,Wyatt,M,2005-11-16,1,1101,N,1,101,4,X,1201,5,5,0.96,5E,49360,22782,01,2,oozjh649,49360,N,N,N,2,8,2,7101,2,8,4,7101,1717 N. Wilcox Avenue,,GLADSTONE,5473,SA
ywxno726,61757,83962,7149,39746,91421,35978,R100000042R,62662,18043,89978,18963,59386,23041,12918,R100000042R,Adams,Clark,Clark,C,2005-11-22,1,1101,N,1,101,4,U,1201,5,5,0.92,5A,49360,22782,01,2,dyatk003,49360,N,N,Y,2,6,3,1201,1,6,4,1201,210 W. College Avenue,,PINE HILL,5269,SA
aebkr619,84980,97794,77303,60118,22755,32772,R100000043K,79794,66429,63590,35330,49764,25116,79944,R100000043K,Naquin,Mirta,Mirta,,2005-05-02,2,1101,N,1,101,4,Y,1201,5,5,0.06,5E,49360,22782,01,1,jujeb105,49360,N,N,Y,3,8,4,2201,4,5,3,1201,407 Newbury St.,,OLYMPIC DAM,5725,SA
nlzfu294,23410,80589,61586,89268,89016,21153,R100000044E,34378,6050,72746,75448,6999,55596,70366,R100000044E,Vega,Tashia,Tashia,L,2005-05-05,2,1101,N,2,101,4,Y,7101,5,5,0.47,5E,49360,22782,01,2,rtruk699,49360,N,Y,N,3,5,2,7101,2,5,4,1201,1659 North Grove Street,,MOUNT GAMBIER,5290,SA
ofxxq263,58748,38246,8956,11356,34601,59941,R100000045P,6740,76897,70730,73575,76152,86745,9393,R100000045P,Williams,Tomas,Tomas,Randall,2005-03-11,1,1101,N,1,101,2,N,1201,5,5,0.31,5E,49360,22782,01,1,tdjur773,49360,U,N,N,2,7,2,1201,2,5,4,1201,2418 University Ave SE,,PORT ELLIOT,5212,SA
hdays732,49515,86055,38195,35305,41401,75784,R100000046A,76287,44327,5854,33495,3112,2582,77699,R100000046A,Elie,Dominique,Dominique,,2005-10-25,2,1101,N,2,101,3,N,1201,5,5,0.01,5B,49360,22782,01,1,veuzl148,49360,Y,Y,Y,4,7,2,1201,1,6,2,2201,7318 E Shea Blvd,,BOOKABIE,5690,SA
oeuww812,67909,69612,54719,11706,22237,28041,R100000047M,89142,75626,79797,93105,6991,10425,12035,R100000047M,Vick,Tommy,Tommy,Derick,2005-11-20,1,1101,N,2,101,1,N,1201,5,5,0.53,5F,49360,22782,01,2,fwdov439,49360,N,N,X,1,5,1,1201,4,5,2,1201,340 N. Main St,,CLARENCE GARDENS,5039,SA
vjmyq991,9846,52998,29551,6106,64474,49891,R100000048G,20481,79719,14493,47876,34131,1188,36802,R100000048G,Smith,Sue,Sue,Jill,2005-12-28,2,1101,N,1,101,4,N,1201,5,5,0.93,5F,49360,22782,01,2,nzahv050,49360,N,Y,N,2,6,3,1201,2,5,4,7101,4112 N. Peoria Rd.,,BARMERA,5345,SA
kbmcj612,5369,49928,76130,97526,18994,76179,R100000049H,85036,72119,51696,46229,90379,40225,34240,R100000049H,Holley,Royce,Royce,A,2005-05-15,1,1101,Y,2,101,2,Y,1201,5,5,0.83,5D,49360,22782,01,2,gxpeu097,49360,Y,Y,Y,1,8,4,1201,3,7,2,1201,933 E University Dr,,BUTLER,5605,SA
pmogx033,91900,34170,69425,3879,43980,13262,R100000050P,98489,36619,49306,8186,5485,68485,51874,R100000050P,Spencer,Petrina,Petrina,D,2005-07-23,2,1101,N,1,101,4,Y,1201,5,5,0.34,5E,49360,22782,01,2,yblhk392,49360,N,Y,Y,1,8,4,1201,4,5,4,9601,1668 N. Federal Highway,,FARRELL FLAT,5416,SA
xuhbg587,17324,43251,67869,86435,55166,43284,R100000051A,82666,14211,56605,45410,14676,48338,31960,R100000051A,Smith,Lynn,Lynn,C,2005-09-22,2,1101,Y,1,101,4,Y,1201,5,5,0.59,5F,49360,22782,01,2,jonoq347,49360,N,X,N,2,7,2,1201,3,6,3,1201,266 East Main St.,,ALTONA,5351,SA
wladx960,62003,56421,65787,58897,41857,8811,R100000052M,91064,33421,77458,52794,42391,35198,54697,R100000052M,Riley,Teri,Teri,D,2005-02-10,2,1101,N,2,101,2,Y,1201,5,5,0.80,5D,49360,22782,01,1,pgvac284,49360,Y,N,Y,2,5,3,1201,4,8,3,1201,1901 University Ave,,MOUNT GAMBIER,5290,SA
pjhxq951,13897,4415,29554,9033,69935,23288,R100000053G,43529,33037,68895,85018,42550,84617,24415,R100000053G,Hall,Ina,Ina,G,2005-01-03,2,1101,Y,1,101,3,N,1201,5,5,0.43,5B,49360,22782,01,2,rkmtw274,49360,N,N,N,4,8,3,1201,1,8,4,1201,1707 Harrison Ave Nw,,PARILLA,5303,SA
xjnco445,87,91491,85643,10987,78205,29893,R100000054H,2816,9949,72030,83437,65254,22317,57116,R100000054H,Cantu,Bruce,Bruce,Felix,2005-10-28,1,1101,X,2,101,3,Y,1201,5,5,0.51,5B,49360,22782,01,2,zuhbt797,49360,N,Y,Y,4,6,2,1201,4,8,1,1201,8401 Santa Monica Blvd,,ALLENDALE EAST,5291,SA
fvjym599,24735,82860,31690,25310,1801,11338,R100000055S,20495,21649,68166,88884,41435,84307,41255,R100000055S,Wilbur,Kyle,Kyle,G,2005-08-24,1,1101,Y,2,101,4,N,1201,5,5,0.83,5F,49360,22782,01,2,haljy939,49360,Y,Y,Y,3,7,3,1201,1,5,1,1201,3009 O'Bryon Street,,LEASINGHAM,5452,SA
lgbjl410,97886,21684,77486,83145,63542,29756,R100000056R,8978,73549,20868,82734,73807,51421,90147,R100000056R,Smith,Frances,Frances,C,2005-02-23,2,1101,Y,2,101,2,Y,1201,5,5,0.32,5C,49360,22782,01,1,bariy000,49360,Y,N,Y,4,8,3,1201,3,5,4,1201,163 N Broadway,,ALLENDALE EAST,5291,SA
jwvow078,52336,17639,94906,44286,48348,36108,R100000057K,59681,12964,85317,17821,58751,65024,49616,R100000057K,Mejia,Carl,Carl,Rene,2005-05-05,1,1101,N,2,101,2,Y,1201,5,5,0.67,5F,49360,22782,01,2,ftduz189,49360,N,Y,N,2,6,4,5203,3,8,1,1201,720 Allied Way,Plaza El Segundo,CLINTON,5570,SA
plawc310,94666,18980,6922,57613,37183,69614,R100000058E,5519,48742,8499,83585,63948,67456,74278,R100000058E,White,Karyn,Karyn,E,2005-08-18,2,1101,Y,1,101,4,N,1201,5,5,0.03,5A,49360,22782,01,1,fpuvu929,49360,N,N,N,1,8,2,1201,4,5,2,7101,1036 1/2 South Fairfax Ave.,,HOLDEN HILL,5088,SA
ocicp957,77790,84742,47294,41914,26058,96652,R100000059D,27299,66968,47404,14685,70419,28465,49487,R100000059D,Johnson,Danna,Danna,B,2005-08-21,2,1101,N,1,101,1,Y,1201,5,5,0.60,5F,49360,22782,01,1,gnacq043,49360,N,Y,Y,1,5,4,1201,3,6,3,1201,1742 W. Division St.,,BLACKWOOD,5051,SA
qjpoq092,79162,74468,28952,86153,32302,20213,R100000060S,58942,79190,87417,74071,14474,70866,14073,R100000060S,Holloway,Roxie,Roxie,,2005-11-06,2,1101,Y,1,101,2,N,1201,5,5,0.46,5D,49360,22782,01,1,imeks976,49360,N,N,Y,1,5,1,1201,2,8,4,1201,3016 Lyndale Avenue S.,,COCATA,5654,SA
ayefd775,70713,71277,68258,44699,4311,85374,R100000061R,94156,15832,93633,96313,75189,56673,30072,R100000061R,West,Geneva,Geneva,K,2005-07-01,2,1101,N,2,101,4,Y,1201,5,5,0.67,5D,49360,22782,01,2,fdnlv315,49360,N,Y,Y,1,7,3,1201,3,8,3,1201,500 Lawrence Expy,,WYNN VALE,5127,SA
sumhm375,15029,98595,14462,75542,30730,90593,R100000062K,43474,82780,99268,11087,48273,16522,51839,R100000062K,Griffith,Lynn,Lynn,C,2005-01-21,1,1101,N,1,101,3,N,1201,5,5,0.70,5D,49360,22782,01,2,sfdlk403,49360,Y,N,N,1,5,3,1201,2,7,2,1201,704 Cleveland Ave S ,,KIRTON POINT,5606,SA
akqxr575,57272,23734,67099,63713,28192,67999,R100000063E,25759,9615,97537,61898,59988,57290,14857,R100000063E,Hightower,Ora,Ora,Chasity,2005-06-05,2,1101,U,1,101,4,N,1201,5,5,0.44,5A,49360,22782,01,1,esodm056,49360,Y,N,Y,4,8,1,1201,3,5,1,1201,409 Galloway Street,,ADELAIDE,5001,SA
rgndo027,31261,7629,70898,81595,3171,67375,R100000064D,8547,35330,17970,37812,95845,16532,32379,R100000064D,Jones,Retha,Retha,K,2005-09-06,2,1101,Y,2,101,3,N,1201,5,5,0.94,5C,49360,22782,01,2,phfiz781,49360,U,N,N,2,6,4,1201,4,5,4,2201,931 Spring Garden St.,,PORT ELLIOT,5212,SA
hsgou030,19474,88210,88244,1958,23550,66847,R100000065A,84734,85226,16020,66884,82077,57779,77853,R100000065A,Bleau,Kathryne,Kathryne,R,2005-02-23,2,1101,N,2,101,2,N,1201,5,5,0.95,5F,49360,22782,01,2,zazwt538,49360,Y,Y,Y,2,5,1,1201,1,7,1,1201,3125 Harrison Ave,,ALMA,5401,SA
dqulq284,90561,96052,34309,73998,88581,44192,R100000066M,79531,59923,67148,76789,95653,10039,45962,R100000066M,Sparks,Wilson,Wilson,,2005-11-24,1,1101,Y,2,101,2,N,1201,5,5,0.79,5A,49360,22782,01,1,nirlr395,49360,Y,N,U,3,7,3,1201,1,5,3,1201,3003 English Creek Ave,,COCKBURN,5440,SA
uzeac785,91991,252,51320,57573,60175,10434,R100000067G,31781,37448,31757,11734,60052,5757,35076,R100000067G,Deitz,Eusebia,Eusebia,,2005-10-22,2,1101,N,2,101,4,N,1201,5,5,0.01,5C,49360,22782,01,1,ofnds004,49360,N,N,N,2,8,4,1201,3,5,3,1201,8536 W. Lawrence Ave.,,BEACHPORT,5280,SA
pzxwz363,86460,92799,22114,35810,35934,73023,R100000068H,38852,92217,17345,69327,2626,26289,37249,R100000068H,Foster,Nichole,Nichole,R,2005-05-25,2,1101,N,1,101,4,N,1201,5,5,0.18,5C,49360,22782,01,2,uaseb183,49360,N,N,Y,1,8,4,1201,3,8,3,1201,50 Broadway,,ALAWOONA,5311,SA
zpjfe712,18299,83720,17613,8730,19530,87136,R100000069P,31984,54027,28762,40968,79304,37993,58162,R100000069P,Bass,Billie,Billie,Denise,2005-09-06,2,1101,N,1,101,1,N,5203,5,5,0.62,5B,49360,22782,01,2,vjrrv442,49360,U,U,Y,2,7,3,7101,1,6,3,1201,228 W. Edison Rd.,,BLACKFELLOWS CREEK,5201,SA
thzfq439,35420,90731,4926,78380,29973,52039,R100000070A,60617,28507,47808,79446,44416,61868,53496,R100000070A,Chou,Tony,Tony,A,2005-08-16,1,1101,N,2,101,1,N,1201,5,5,0.28,5D,49360,22782,01,1,ylxij950,49360,N,Y,N,3,8,4,1201,1,7,2,1201,2170 E. Baseline Rd.,,HONITON,5576,SA
iwpds301,87945,18085,83311,41244,74499,77831,R100000071M,29526,64296,23002,60215,38791,72991,89244,R100000071M,Bates,Sabrina,Sabrina,K,2005-12-27,2,1101,Y,2,101,4,U,1201,5,5,0.44,5B,49360,22782,01,2,lqkqa139,49360,Y,Y,N,1,5,2,1201,1,6,2,1201,2 Somerset St.,,INGLE FARM,5098,SA
